,LINK,CLASS,CONTENT
44,0,1,"if you like raw talent, raw lyrics, straight real hip hop everyone check my newest sound dizzy x - got the juice prod by. drugs the model citizen comment tell me what you think don't be lazy! - 1/7 prophetz.
"
45,0,1,"subscribe. to my. channel.
"
46,0,0,"now its 1884034783 views! pls. comment the view count the next hour.
"
47,1,1,"http//wwwavaazorg/po/petition/youtubecorporationfoxbroadcastingcompanyanularosstrikesnocanalnostalgia/cxpzpgb.
"
48,0,0,"go here to check the views.
"
49,0,0,"thumbs up if you checked this video to see hw views it got.
"
50,0,1,"please subscribe to my channel and i will subscribe back xx.
"
51,0,0,"i check back often to help reach 2x10^9 views and i avoid watching baby.
"
52,0,0,"this video will get to 2 billion just because of people checking if it has hit 2 billion yet.
"
53,1,1,"https//wwwfacebookcom/pages/brew-crew-2014/134470083389909 like this facebook-page! chance to win an iphone 5s.
"
54,1,1,"get gwar to play 2015 superbowl http//wwwchangeorg/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-showshare.
"
55,1,1,"pls follow this channel! http//wwwtwitchtv/sevadus.
"
56,0,1,"hi guys check my youtube channel.
"
57,0,1,"subscribe and like to me for more how to videos on minecraft.
"
58,1,1,"http//tankionlinecomfriend=cd92db3f4 great game check it out.
"
59,0,1,"subscribe me.
"
60,0,0,"i am just to check how much views it has.
"
61,0,0,"the first comment is chuck norrus ovbiously.
"
62,0,0,"behold the most viewed youtube video in the history of ever.
"
63,0,0,"when is this gonna hit 2 billion.
"
64,0,0,"the most viewed youtube video of all time.
"
65,0,0,"969210 dislikes like dislike themselves.
"
66,0,0,"psy=korean.
"
67,0,0,"omg this oldspice spraytan party commercial omg. i'm sitting here ""no this isn't a real thing is it? omg"".
"
68,0,0,"this is the only video on youtube that get so much views just because we want to see how much views it has. 1000000 every day, i mean, most people think a video is popular when it actually gets 1000000 views.
"
69,0,0,"it's been back for quite a while now.
"
70,0,0,"2 billions in 2014.
"
71,0,1,"please check out fablife / welcome to fablife for diys and challenges so please subscribe thanks.
"
72,0,1,"subscribe my channel.
"
73,1,1,"http//wwwebaycom/itm/131338190916sspagename=strkmeselxittrksid=p3984m1555l2649.
"
74,1,1,"http//wwwguardaloorg/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/.
"
75,0,1,"if your like drones, please subscribe to kamal tayara. he takes videos with his drone that are absolutely beautiful.
"
76,1,1,"http//hackfbaccountlivecom/ref=4604617.
"
77,0,1,"whats up everyone! i trying to showcase my talent to the world! i have over 3000 subscribers! i promise! i don't suck! please spread my covers around, subscribe share! thanks so much for all your support! lucas trigo -stay awesome.
"
78,1,1,"----- https//wwwfacebookcom/videophpv=10200253113705769set=vb201470069872822type=3permpage=1 --------.
"
79,0,1,"hi therei'm group leader of angel, a rookie korean pop group. we have four members, chanicka, julie, stephanie, and myself, leah. please feel free to check out our channel and leave some feedback on our cover videos criticism is welcome as we know we're not top notch singers so please come leave some constructive feedback on our videos; we appreciate any chance to improve before auditioning for a korean management company. we plan on auditioning for jyp, bighit, jellyfish, yg or sm. thank you for taking time out of your day to read this.
"
80,1,1,"http//wooboxcom/33gxrf/brt0u5 free cs go.
"
81,0,0,"admit it you just came here to check the number of viewers.
"
82,0,0,"just coming to check if people are still viewing this video. and apparently, they still do.
"
83,0,1,"check my first video out.
"
84,0,1,"check my channel.
"
85,1,0,"psy - gangnam style m/v: http//youtube/9bzkp7q19f0.
"
86,0,1,"suscribe my channel please. lol.
"
87,0,0,"wow. comments section on this still active. not bad. also 5277478 comments. now 79.
"
88,1,1,"http//binboxio/1firo123.
"
89,0,0,"ching ching ling long ding ring yaaaaaa ganga sty fuck you.
"
90,1,1,"https//wwwindiegogocom/projects/cleaning-the-pan--2 please halp me with my project.
"
91,0,1,"there is one video on my channel about my brother.
"
92,0,1,"check my channel, please.
"
93,0,1,"does anyone here use gift cards like amazon, itunes, psn, google play, itunes, or any other gift cards? then you'll be happy to know you can get free gift card codes for free from an amazing site. here is a 50 itunes gift card code xxbb5tczhm39hvzd.
"
94,0,0,"why does this video have so many views? because asian things are awesome and non-asian countries are jelly so they try to learn from asia by looking at this video.
"
95,0,1,"plizz withing my channel.
"
96,0,1,"i made a gaming channel unique right l angry minecraft.
"
97,1,1,"please help me go here http//wwwgofundmecom/littlebrother.
"
98,0,1,"anybody who subscribes to me will get 10 subscribers.
"
99,1,1,"http//thepiratebayse/torrent/6381501/timothysykescollection.
"
100,0,1,"my videos are half way decent, check them out if you want.
"
101,0,0,"they said this video are not deserve 2billion views while they keep visiting it to watch the viewer.
"
102,0,1,"subscribe to itz recaps and above diddle.
"
103,0,0,"screw this chinese crap i don't even understand what he is saying. why isn't he speaking english like everyone should.
"
104,1,1,"need moneyenjoy https//wwwtsuco/emersonzanol.
"
105,0,1,"subscribe to my channel visuelgamingznl i subscribe back.
"
106,0,1,"please subscribe i am a new youtuber and need help please subscribe and i will subscribe back. hoppa hoppa gangam style.
"
107,0,1,"subscribe me if you don't like the song.
"
108,0,0,"this is a weird video.
"
109,0,0,"8 million likes. even the subscribers not 8 million xd.
"
110,0,1,"ehi guys can you subscribe in my channel? i am a new youtuber and i play minecraft thanks guys! subscribe.
"
111,0,1,"hi everyone! do you like music? then why not check out my music channel. the lexis band will be uploading their own songs and covers soon so don't miss out. please subscribe too as it does help us out a lot. just takes one click. -.
"
112,0,0,"this song never gets old love it.
"
113,1,1,"gofundmecom/grwmps.
"
114,1,1,"hey guys please check out my new google+ page it has many funny pictures, funnytortspics https//plusgooglecom/112720997191206369631/post.
"
115,0,0,"2012bitches.
"
116,0,0,"made in china.
"
117,0,0,"5 milions comentars and 2 bilion views.
"
118,0,0,"it is 0 zero.
"
119,0,0,"mix - psy - gangnam style m/v: psy - gangnam style m/v.
"
120,0,0,"this has had over 2 billion views. holy shit.
"
121,0,0,"how can there be 2124821694 views, when i am the only person alive after the zombie apocalypse - greetings, spoderman.
"
122,0,1,"suscribe my channel please.
"
123,0,0,"2124923004 wiews. wow.
"
124,0,1,"guys please subscribe me to help my channel grow please guys.
"
125,0,0,"great music anyway.
"
126,1,0,"psy - gangnam style m/v: http//youtube/9bzkp7q19f0.
"
127,0,0,"so crazy, over 2 billion views, not us, not uk, its korea republic, its asia.
"
128,1,1,"discover a beautiful song of a young moroccan http//wwwlinkbuckscom/acn2g.
"
129,0,1,"like getting gift cards. but hate spending the cash. try juno wallet at juno wallet you can earn money for gift cards such as nike, gamestop, amazon ebay etc its easy earn money by doing simple task like watching videos. downloading apps you can even earn money by inviting your friends to join. its free for signup sign up today use promo code bd3721315.
"
130,0,0,"can somebody wake me up when we get to 3 billion views.
"
131,0,0,"psy got lots of money from youtube that he got from 2 billion views this is the most views in the world.
"
132,0,0,"justin bieber = gay.
"
133,0,0,"you gotta say its funny. well not 2 billion worth funny but still. it clicked and everything went uphill. at least you don't have jb's shit on 1.
"
134,0,0,"
"
135,0,0,"ahhh, 2 years ago.
"
136,1,1,"dance dance, psy http//wwwreverbnationcom/msmarilynmiles.
"
137,0,1,"check out ""starlitnightsky"" channel to see epic videos.
"
138,1,1,"https//wwwtsuco/kodysman please.
"
139,0,0,"stupid people. this video doesnt have 2 billion visits. have 2 thousands millions.
"
140,1,1,"http//wwwgcmforexcom/partners/awaspxtask=joint2affiliateid=9107.
"
141,0,1,"check men out i put allot of effort into my music but unfortunatly not many watch it.
"
142,1,1,"pls http//www10vakinhacombr/vaquinhaeaspxe=313327 help me get vip gun cross fire al.
"
143,1,1,"add me here. https//wwwfacebookcom/tlouxmusic.
"
144,0,1,"check my channel out please. i do singing covers.
"
145,0,0,"i think this is now a place to promote channels in the comment section lol.
"
146,0,1,"get free gift cards and pay pal money.
"
147,0,1,"check out pivot animations in my channel.
"
148,0,1,"follow me on twitter ig killuminati94.
"
149,0,1,"check me out i'm all about gaming.
"
150,0,0,"oppa! yeah! best song.
"
151,1,1,"more. http//wwwsunfrogshirtscom/sunglass-worldhtml24398.
"
152,1,1,"https//wwwfacebookcom/teelalala.
"
153,1,1,"http//wwwtwitchtv/zxlightsoutxz.
"
154,1,1,"reminds me of this song https//soundcloudcom/popaegis/wrenn-almond-eyes.
"
155,1,1,"what free gift cards? go here http//wwwswagbuckscom/p/registerrb=13017194.
"
156,0,1,"search ""chubbz dinero - ready or not "" thanks.
"
157,0,1,"follow me on twitter mscalifornia95.
"
158,0,0,"every single types of face on earth.
"
159,0,0,"y.
"
160,0,1,"check my channel for my new song 'static'! you'll love it.
"
161,0,1,"incmediaorg where the truth meets you.
"
162,0,1,"look at my channel i make minecraft pe lets play.
"
163,0,0,"i found out this song now.
"
164,0,0,"2 billion.
"
165,0,0,"song name.
"
166,1,1,"please like http//wwwbubblewscom/news/9277547-peace-and-brotherhood.
"
167,0,1,"hey again if you guys wouldnt mind chacking out my rap give it like and il giver 3 of your vids a like.
"
168,1,1,"http//wwwamazoncouk/gp/offer-listing/b00ecvf93g/sr=8-2/qid=1415297812/ref=olptabrefurbishedie=utf8condition=refurbishedqid=1415297812sr=8-2.
"
169,0,0,"the most watched video on youtube is psys gangnam style, with 21 billion views. psy - gangnam style m/v.
"
170,0,1,"subscribe to me and i'll subscribe back.
"
171,1,1,"http//flipagramcom/f/luka1qmrhf.
"
172,0,1,"for christmas song visit my channel.
"
173,1,1,"http//wwwgofundmecom/gvr7xg.
"
174,0,1,"subscribe to me i subscribe back! plus i have a nice ass lol.
"
175,1,1,"https//wwwchangeorg/p/facebook-twitter-youtube-do-not-censor-julien-blanc.
"
176,1,1,"https//soundcloudcom/jackal-and-james/wrap-up-the-night.
"
177,1,1,"https//wwwsurveymonkeycom/s/cvhmklt.
"
178,0,1,"please give us a chance and check out the new music video on our channel! you won't be disappointed.
"
179,0,1,"please subscribe to me.
"
180,0,0,"this is the best, funny and viral video of history youtube the true.
"
181,0,1,"please check out my vidios.
"
182,0,0,"oppa gangnam style.
"
183,0,0,"the funny thing is, 1700000000 of the views are spam bots. i mean c'mon 2 billion views? bs.
"
184,0,0,"oppa.
"
185,0,0,"it's so funny it's awesomeness lol aaaaaaa sexy lada.
"
186,0,0,"most viewed video in the world.
"
187,0,0,"i'm here to check the views. holy shit.
"
188,0,0,"dear person reading this, you are beautiful and loving have a great day.
"
189,1,1,"http//wwwermailpl/dolacz/v3veygin click http//wwwermailpl/dolacz/v3veygin http//wwwermailpl/dolacz/v3veygin http//wwwermailpl/dolacz/v3veygin http//wwwermailpl/dolacz/v3veygin http//wwwermailpl/dolacz/v3veygin http//wwwermailpl/dolacz/v3veygin.
"
190,1,1,"have you tried a new social network tsu? this new social network has a special thingyou can share the posts as well as on fb and twitter and even to'll get paid you can registr here: https//wwwtsuco/worldwidelife.
"
191,0,0,"the guy in the yellow suit kinda looks like jae-suk.
"
192,1,1,"people, here is a new network like fb. you register also free, the difference is only that you get paid for sharing, commenting and liking posts and so one. don't waste your time on fb for sharing and not being paid! register here to make also money with your everyday posts! https//wwwtsuco/slema13 wellcome to everyone.
"
193,0,0,"how are there 2 billion views and theres only 2 million people in the world! multiple accounts! 1111.
"
194,0,0,"wat da fuck this the most viewed video in youtube.
"
195,0,0,"omg 2/7 people watched this video because there are 7 billion people in the world and 2 billion watched this.
"
196,0,0,"what is he saying?
"
197,0,0,"this has so many views.
"
198,0,0,"omg over 2 billion views.
"
199,0,1,"subscribe to me please please please please please please.
"
200,1,1,"http//wwwtwitchtv/tareko100 follow him on twitch and enter the keyword 5800 and you'll have a chance of winning a really nice and expensive gun for csgo that you can sell on the steam market.
"
201,0,0,"i am 2126492636 viewer.
"
202,1,1,"https//wwwtsuco/aseris get money here.
"
203,0,0,"fantastic.
"
204,0,0,"the population of world is more than 7 billion.
"
205,0,0,"2126521750 views.
"
206,0,0,"wow 23 min ago.
"
207,0,0,"super!
"
208,0,0,"p e a c e l o v e.
"
209,0,0,"how can this music video get 2 billion views while i am the only one watching here on earth? lol.
"
210,1,1,"please friend read my book and repass: http//www4sharedcom/web/preview/pdf/cjfoftxeba.
"
211,0,1,"subscribe to me.
"
212,0,0,"still the best.
"
213,0,0,"the most liked video on youtube.
"
214,0,0,"still watching this 2 years later.
"
215,0,1,"hello! i'm kind of new to youtube, and soon i'm soon going to be making launchpad video's! i would really appreciate if i got some subs before i started so that people can spot me easily! i don't really care about hate comments so don't bother.
"
216,0,0,"lol. i dunno how this joke gets a lot of likes, but whatever.
"
217,0,0,"2 billion views for this piece of shit. a r e y o you k i d d i n g m e.
"
218,0,0,"gangman sty- d-d-d-d-d-d--drop the bass.
"
219,0,0,"will this song ever reach 7 billion views.
"
220,0,1,"i am a rapper/songwriter, check my video please. also subscribe for more thanks. tell me what you think.
"
221,0,0,"hello all 2924. earth population of the world, hope your having a great day.
"
222,0,0,"is this the video that started the whole ""got my dick stuck in an elevator"" excuse thing.
"
223,0,1,"can anyone subscribe to my channel.
"
224,0,0,"prehistoric song. has been.
"
225,0,0,"you think you're smart? headbutt your face.
"
226,0,0,"dislike. now one knows real music - ex. enimen.
"
227,0,0,"loool nice song funny how no one understands me and we love it.
"
228,0,0,"like if you came here too see how many views this song has.
"
229,0,0,"we pray for you little psy.
"
230,0,0,"''little psy, only 5 months left. tumor in the head. we will miss you.
"
231,0,1,"follow me on instagram. chriscz.
"
232,0,0,"how is this shit still relevant.
"
233,0,0,"this shit never gets old.
"
234,0,0,"what can i say. this song he just change the world completely. so good job psy. and your girls are awesome.
"
235,0,0,"on 002 you can see the camera man on his glasses.
"
236,0,0,"this comment is wrong.
"
237,0,0,"i hate this music. fucking singer and every koean chainise ana us sucks me dick.
"
238,0,0,"205. hahahahah.
"
239,0,0,"can we reach 3 billion views by december 2014.
"
240,0,0,"dumb guy: why is there 2 billion views when there are 7 million people on earth? also, i know what 1+1 equals! 1+1=1! i am a smartie pants.
"
241,0,0,"people who say that ""this song is too old now, there's no point of listening to it"" suck. just stfu and enjoy the music. so, your mom is old too but you still listen to her right.
"
242,0,0,"the funny thing is that this song was made in 2009 but it took 2 years to get to america.
"
243,0,0,"why i don't see any comments but mine? /.
"
244,0,0,"this jap is such a piece of shit. he is such a worthless fish head. i don't know how any one likes this dumb untanlted gook. this isnt even fucken music. this is so fucking sad that this is even such thing. people are so fucked up.
"
245,0,0,"i remember when everyone was obsessed with gangnam style.
"
246,0,0,"remove this video its wank.
"
247,1,1,"it's so hard, sad. ithat little child actor hwang minoo dancing very active child is suffering from brain tumor, only 6 month left for him hard to believe keep praying everyone for our future superstar. stronglittlepsy fighting share everyone praying for him http//ygunitedcom/2014/11/08/little-psy-from-the-has-brain-tumor-6-months-left-to-live/.
"
248,0,0,"why the fuck this keeps updated? comments ""5 minutes ago"" song: ""2 years and 4 months ago"".
"
249,0,0,"many memories.
"
250,0,0,"why are they 5million comments when there is only 279898 youtube users. 5million fake account or psy hacked youtube.
"
251,0,0,"2000000000 out of 7000000000 people in the would saw this video just in 2 years and yeat i only get 2 words out of the hole song.
"
252,0,0,"this video is so cool, again and again.
"
253,0,0,"i am now going to voyage to the first comment. tell my family i loved them.
"
254,0,0,"how did this video in all of youtube get this many views and likes? why gangnam style? i don't have a problem with it, i just don't understand the phenomena behind it, it's just like any other random music video out there.
"
255,0,0,"with the korean girl more slut and bitch hyuna '33.
"
256,0,1,"hey guys! check this out: kollektivet - don't be slappin' my penis! i think that they deserve much more credit than they receive.
"
257,0,0,"still a very fun music video to watch.
"
258,0,0,"c'mon 3 billion views.
"
259,0,1,"hey everyone, i am a new channel and will post videos of book reviews and music on the flute. please subscribe if you would enjoy that. thanks.
"
260,0,0,"hey i think i know what where dealing with here! i have some theories of how this could've gotten 2billion hits! 1. this was mabey made in korea and its realy popular there so they were stuck watching this over and over again. 2. over 2billion people have access to the internet, including youtube, and the numbers are rising, by 2017 half of the populatoin will be connected. 3. hackers in korea may have loved it so much they rised it to 2billion hits to make it more popular. 4. the song was featured in a just dance game, on multiple mp3s, and been seen on concerts and even on new years eve event in 2012, so just by seeing those you mabey adding more hits to this video. 5. you are complaining to much on how the heck this has 2b hits.
"
261,0,1,"subscribe my chanel.
"
262,0,0,"this has more views than queen and michael jackson, 2 billion views omg.
"
263,0,0,"lol.
"
264,0,0,"if you pause at 139 at the last millisecond you can see that that chick is about to laugh. takes a few tries.
"
265,0,0,"9 year olds be like, 'how does this have 2 billion views when there are only 3 people in the world'.
"
266,0,0,"psy is a good guy.
"
267,0,0,"why does this have 2 billion views this song is so annoying.
"
268,1,1,"https//wwwfacebookcom/pages/mathster-wp/1495323920744243ref=hl.
"
269,0,0,"1 millioon dislikesssssssssssssssssssssssssssssssss.
"
270,0,0,"the little psy is suffering brain tumor and only has 6 more months to live. please pray to him and the best lucks.
"
271,0,0,"for all of the little kidz out there there is like 7 to 8 billon people on earth not 7 to 8 millonget you facts straight before posting comments.
"
272,0,0,"how stupid humanity is.
"
273,0,1,"come and watch my video it is called the odowd crowd zombie movie part 1.
"
274,0,0,"you know a song sucks dick when you need to use google translate to know what the fuck its saying.
"
275,0,0,"we get it, you came here for the views.
"
276,0,0,"wow this video is the most viewed youtube video. second that comes justin bieber- baby smh what has the world come to.
"
277,1,1,"hey, join me on ts, a publishing platform where i share my content now: http//tsuco/markusmairhofer.
"
278,0,0,"this song is great there are 2127315950 views wow.
"
279,0,0,"i'm watching this in 2014.
"
280,0,0,"most viewed video on youtube. daaaaaaaaaaannng those views can almost dominate the entire. china.
"
281,0,0,"how does this video have 2127322484 views if there are only 7 million people on earth.
"
282,0,0,"what my gangnam style.
"
283,0,0,"lol this youtuber officialpsy is getting so much money lol.
"
284,0,0,"1 million dislikesepic failready for you fanboys.
"
285,0,0,"if i knew korean, this would be even funnier. at least a bit at the end was in english, but was spoken quite rapidly.
"
286,0,0,"enough with the whole ""how does this have two billion views if there's only 7 million on the planet"" we get it. you're joking. it's not funny anymore.
"
287,0,1,"if i get 100 subscribers, i will summon freddy mercury's ghost to whipe from the face of earth one direction and miley cirus.
"
288,0,1,"if i reach 100 subscribers i will go round in public pouring a bucket of ice water over people and then running away acting like it wasn't me! like so people can see.
"
289,0,0,"youtube money.
"
290,0,0,"2 billion for this shit.
"
291,0,0,"2 billion views, only 2 million shares.
"
292,0,1,"hi guys my name is dylan and i do irl football videos i have 1030 subscribers and i think you guys would like my content so come check it out and if you do subscribe.
"
293,0,1,"if i get 300 subscribers by tomorrow i'll do a epic hunger games video.
"
294,1,1,"follower please https//wwwfacebookcom/lists/161620527267482.
"
295,0,0,"2 billion views wow not even baby by justin beibs has that much he doesn't deserve a capitalized name.
"
296,0,1,"if i reach 100 subscribers i will tazz my self and my friend.
"
297,1,1,"please help me go to college guys! thanks from the bottom of my heart. https//wwwindiegogocom/projects/i-want-to-go-to-college--19/x/9082175.
"
298,1,1,"https//wwwfacebookcom/schoolgeniusnits/photos/mscejw9kvkoxdamqm808h5z. 4snjqpthqbeum69aqup1ihfphgk5zllsvdqv0zuf0mb. lnuj. ufth4yokfrxyts2zvrrp6qgtw67y. l551h. f7vlczzrg8vgctlpsd9ongewhj8gibu. s3lzmvy. iq2. twsfzz9whn7jusvhufpglqrzczl05fnphagevb3x8ydmc6x. jtcjnmho. vfxwcjzyvwobihrngx2ocjng2pg1evhxzyjdo3hry6f57sprnd2xv. bzszz. 8-bpsa390875584405933/391725794320912/type=1theater.
"
299,0,1,"i am so awesome and smart! sucscribe to me.
"
300,0,1,"follow 4 follow vaahidmustafic like 4 like.
"
301,1,1,"http//hackfbaccountlivecom/ref=4436607 psy news offcal.
"
302,1,1,"https//wwwfacebookcom/nicushorbboy add mee. 3.
"
303,1,1,"i am sorry for the spam but my name is jenny. i go to high school where everyone dresses fashionable but for me i don't because i need money to buy cute clothes. i have low self esteem i live with my dad. my mom passed away when i was 6 so i don't really have a mother figure. i have 2 brothers who is older than me. since they are boys they get the attention while i just be alone. i really want to wear pretty clothes like the girls in my school and get a boyfriend. i just can't be my self. i am very quite and shy at school because i don't have the confidence in myself to talk to someone. i did have one friend name caroline but she moved away so now i am alone. if you could donate some money to me it would be great. i don't care about expensive brand ill just shop at walmart because they have pretty clothes. also i wanna get my nails done at a salon i see alot of girls have these french tips. i never had my nail did at a salon before i will really appreciate if i can and get my hair curled too. http//wwwgofundmecom/dressprettyonce thanks omg please.
"
304,0,0,"i hate this song.
"
305,0,1,"please throw a subscribe on my channel.
"
306,0,0,"new goal! 3000000! let's go for it.
"
307,0,1,"go to my channel if you want to see a fly getting burned alive.
"
308,0,0,"just came here to check the views.
"
309,0,1,"come and check out my new youtube chhanel, going to be posting daily.
"
310,0,0,"i hav absolutely no idea what he's saying. is it even a language.
"
311,0,1,"please check out my vidios guys.
"
312,0,0,"i still to this day wonder why this video is so popular illuminati confirmed.
"
313,0,1,"hey guys can you check my channel out please. i do mine craft videos. let's shoot for 20 subs.
"
314,0,0,"this is getting old.
"
315,0,1,"please subscribe me.
"
316,0,0,"just came to check the view count.
"
317,0,1,"check out my music videos! fuego - you la la remix hyperurlco/k6a5xt.
"
318,0,1,"check out my music videos! and please subscribe! fuego - you la la remix hyperurlco/k6a5xt.
"
319,1,1,"wwwmarketglorycom/strategygame/lordviperas.
"
320,0,0,"if the shitty chinese government didn't block youtube over there, there'd be close to 3 billion views right now.
"
321,0,0,"world record youtube video views.
"
322,0,0,"i think he was drunk during this.
"
323,1,1,"limit sun exposure while driving. eliminate the hassle of having to swing the car visor between the windshield and window. https//wwwkickstartercom/projects/733634264/visortwin.
"
324,0,0,"hahah, juyk! i allways laugh at the part 157. lol.
"
325,1,1,"http//hackfbaccountlivecom/ref=5242575.
"
326,0,0,"i wanted to know the name of the guy that dances at 0058, anybody knows.
"
327,1,1,"https//wwwfacebookcom/fudairyqueenpnref=story.
"
328,0,0,"haha its so funny to see the salt of westerners that top views of youtube goes to video they don't even understand, keep the salt up.
"
329,1,1,"follow my company on twitter thanks. https//twittercom/thewaxedhatco.
"
330,0,0,"imagine if this guy put adsense on with all these views. you could pay you are morgage.
"
331,0,1,"hey come check us out were new on youtube let us know what you think and don't forget to subscribe thanks.
"
332,0,0,"the girl in the train who was dancing, her outfit was so fucking sexy, but the huge turn-off was she lacked eyebrows d.
"
333,1,1,"look at the pictures, if not difficult http//image2youru/48051/1340524/ http//image2youru/48051/1340523/ http//image2youru/48051/1340522/ http//image2youru/48051/1340521/ http//image2youru/48051/1340520/ http//image2youru/48051/1340519/ http//image2youru/48051/1340518/ http//image2youru/48051/1340517/ http//image2youru/48051/1340504/ http//image2youru/48051/1340503/ http//image2youru/48051/1340502/ http//image2youru/48051/1340500/ http//image2youru/48051/1340499/ http//image2youru/48051/1340494/ http//image2youru/48051/1340493/ http//image2youru/48051/1340492/ http//image2youru/48051/1340491/ http//image2youru/48051/1340490/ http//image2youru/48051/1340489/ http//image2youru/48051/1340488/.
"
334,0,0,"don't mind me, i'm just checking what the views are up to.
"
335,0,1,"hey guys can you check my youtube channel i know you hate comments like this one but i promise if you check my videos it will be entertaining i do shotgun montagesninja defuse montages and trolling please guys can you check them out and thanks have a good day.
"
336,0,0,"to everyone joking about how he hacked to get 2 billion views because there's a certain amount of people or whatever, he actually did buy views.
"
337,1,1,"https//wwwfacebookcom/tofikmiedzynb/photos/a149627372397802210737418281496241863981208/1498561870415874/type=1theater.
"
338,1,1,"https//wwwfacebookcom/eeccon/posts/733949243353321commentid=734237113324534offset=0totalcomments=74 please like frigea marius gabriel comment.
"
339,1,1,"http//wwwbingcom/explore/rewardspubl=referafriendcrea=rawrrid=0f9fa8aa-243a-5c2f-c349-ede05ea397ca bing rewards, earn free money. and no you cant get you are virus in blue.
"
340,1,1,"please do buy these new christmas shirts! you can buy at any time before december 4th and they are sold worldwide! don't miss out: http//teespringcom/treechristmas.
"
341,1,1,"free my apps get 1m crdits just click on the link and download a app and done! link: https//mfreemyappscom/share/url/5af506e1.
"
342,0,0,"why does a song like this have more views than michael jackson smh.
"
343,1,0,"something to dance to, even if your sad just dance! psy - gangnam style m/v: http//youtube/9bzkp7q19f0.
"
344,0,0,"everyones back lool this is almost 3 years old and people are still hear.
"
345,0,0,"how can this have 2 billion views when there's only me on the planet.
"
346,0,0,"i don't now why i'm watching this in 2014.
"
347,0,1,"subscribe to me for call of duty vids and give aways goal-100 subs.
"
